/root/DeleteMe7	4.0,8.0	-63,-65,-67,-59,-60|-57,-59,-61,-53,-54|-62,-64,-66,-58,-59|-64,-66,-68,-60,-61|-52,-53,-55,-48,-48|-60,-62,-64,-56,-57
/root/DontDeletePlease	8.0,0.0	-63,-67,-68,-63,-68|-67,-71,-72,-67,-72|-54,-59,-60,-55,-59|-51,-55,-56,-51,-56|-65,-69,-70,-65,-70|-65,-69,-70,-65,-70
/root/GetMe10	4.0,4.0	-56,-60,-58,-64,-67|-58,-62,-60,-66,-69|-54,-57,-55,-61,-64|-58,-62,-60,-66,-69|-57,-61,-58,-65,-68|-60,-64,-61,-67,-70
/root/PSherman42WallabyWaySidney	4.0,10.0	-72,-62,-63,-60,-66|-63,-54,-55,-52,-58|-71,-62,-63,-60,-66|-73,-63,-64,-61,-67|-52,-43,-43,-40,-46|-67,-57,-58,-55,-61
/root/PlasticBag	0.0,6.0	-64,-66,-58,-62,-57|-60,-62,-55,-59,-54|-66,-68,-60,-64,-59|-69,-71,-64,-68,-63|-64,-66,-59,-63,-58|-69,-71,-63,-67,-62
/root/PutThis	2.0,4.0	-53,-61,-58,-58,-61|-56,-64,-61,-61,-64|-54,-62,-59,-59,-62|-59,-67,-64,-64,-67|-56,-64,-61,-62,-65|-60,-68,-65,-65,-68
/root/SomethingToDoHereMaybe	0.0,4.0	-54,-54,-60,-57,-58|-58,-58,-63,-61,-62|-58,-58,-64,-61,-62|-63,-63,-68,-66,-67|-60,-60,-65,-63,-64|-63,-64,-69,-66,-68
/root/SomethingUseful	8.0,8.0	-67,-70,-66,-63,-66|-64,-67,-63,-60,-63|-65,-67,-63,-60,-63|-64,-67,-63,-60,-63|-57,-60,-56,-53,-56|-55,-58,-54,-51,-54
/root/ThisIsTrash	6.0,8.0	-64,-61,-63,-68,-67|-60,-57,-59,-64,-63|-62,-59,-61,-66,-66|-63,-60,-62,-67,-66|-52,-48,-50,-55,-55|-57,-54,-56,-61,-60
/root/ThisIsUseful	4.0,0.0	-62,-60,-58,-53,-55|-70,-69,-66,-62,-64|-50,-49,-47,-42,-44|-65,-64,-61,-57,-59|-70,-68,-66,-61,-63|-71,-70,-67,-62,-64
/root/WhereIsNemo	2.0,10.0	-63,-70,-65,-61,-65|-50,-56,-51,-47,-52|-64,-70,-65,-61,-66|-65,-71,-67,-63,-67|-53,-59,-54,-50,-55|-61,-67,-63,-59,-63
/root/WhereIsTheClownfish	6.0,2.0	-65,-63,-60,-60,-58|-69,-67,-64,-64,-62|-56,-54,-51,-51,-49|-62,-60,-57,-57,-55|-67,-65,-62,-62,-60|-68,-66,-63,-63,-61
