0, 0: [-26.6, -66.6, -60.8, -66.6, -67.6, -69.6]
0, 2: [-51.4, -63.2, -59.8, -65.4, -64.6, -67.4]
0, 4: [-56.6, -60.4, -60.6, -65.4, -62.4, -66]
0, 6: [-61.4, -58, -63.4, -67, -62, -66.4]
0, 8: [-61.2, -49.8, -62.8, -65.4, -57.8, -63.6]
0, 10: [-64, -24, -65, -67, -58, -64]
2, 0: [-52.8, -66.6, -55.8, -64.6, -66.8, -68.6]
2, 2: [-54.4, -63.6, -56.6, -63.6, -63.8, -66.2]
2, 4: [-58.2, -61.2, -59.2, -64.2, -61.6, -65.2]
2, 6: [-62, -59.2, -62.2, -65.6, -60, -64.8]
2, 8: [-63, -54, -63, -65.6, -56, -63]
2, 10: [-64.8, -51.2, -65.2, -66.6, -54.2, -62.6]
4, 0: [-57.6, -66.2, -46.4, -61.2, -65.6, -66.8]
4, 2: [-60, -66, -54.4, -63, -65, -67]
4, 4: [-61, -63, -58.2, -63, -61.8, -64.4]
4, 6: [-62.6, -60.6, -61.2, -64, -58, -62.6]
4, 8: [-62.8, -56.8, -61.8, -63.8, -51.2, -59.8]
4, 10: [-64.6, -56.4, -64.4, -65.6, -44.8, -59.6]
6, 0: [-60.4, -65.8, -45.4, -56.8, -64.6, -65.4]
6, 2: [-61.2, -65.2, -52.2, -58.2, -63.2, -64.2]
6, 4: [-62.8, -64.2, -58, -60.8, -61.4, -62.8]
6, 6: [-63.8, -62, -60.8, -62, -57.4, -60]
6, 8: [-64.6, -60.6, -62.8, -63.6, -52, -57.6]
6, 10: [-65.2, -59.6, -64, -64.6, -44.6, -56.2]
8, 0: [-65.8, -69.8, -57.4, -53.8, -67.8, -67.8]
8, 2: [-65.8, -68, -58.8, -56.2, -65.8, -65.8]
8, 4: [-63.4, -64.4, -58.4, -57.6, -60.6, -60.4]
8, 6: [-64, -63, -60.6, -60, -58, -57.2]
8, 8: [-66.4, -63.4, -63.6, -63.4, -56.4, -54.4]
8, 10: [-69, -65, -67, -67, -56.8, -53]
10, 0: [-64.8, -67.8, -59, -24.8, -65.8, -64.8]
10, 2: [-63.8, -65.8, -58.4, -50.2, -63.2, -61.8]
10, 4: [-66.8, -67.4, -62.4, -58.4, -64, -61.8]
10, 6: [-63.2, -63, -60, -58, -58.2, -54.2]
10, 8: [-65, -63, -62.2, -61, -57.4, -49]
10, 10: [-68.4, -65.4, -66.4, -65.4, -59.4, -25.4]
